category,price,quantity,total_value,age,gender,region,segment,churn,tenure_months,sentiment,sale_year,sale_month,sale_quarter,sale_day_of_week,sale_is_weekend,days_since_last_purchase,avg_order_value,price_per_unit,high_value_customer,bulk_buyer,tenure_years,new_customer,loyal_customer,recent_customer,at_risk_customer,age_group,price_category,total_clv,avg_order_value_customer,order_frequency,clv_per_month,feedback_length,feedback_word_count,gender_encoded,region_encoded,segment_encoded,sentiment_encoded,category_encoded,age_group_encoded,price_category_encoded
Office Supplies,100,4,400,24,Female,East,Consumer,0,15,Negative,2020,5,2,4,0,115,400,100,0,0,1.25,0,0,0,0,18-25,Low,32400,16200.0,2,2025.0,40,6,0,0,0,0,2,0,1
Electronics,3000,3,9000,19,Male,North,Consumer,0,19,Neutral,2021,4,2,6,1,254,9000,3000,0,0,1.5833333333333333,0,0,0,1,18-25,Low,24000,12000.0,2,1200.0,34,4,1,1,0,1,0,0,1
Electronics,70000,1,70000,24,Female,South,Small Business,0,4,Neutral,2020,9,3,0,0,285,70000,70000,0,0,0.3333333333333333,1,0,0,1,18-25,Premium,371000,92750.0,4,74200.0,39,6,0,2,2,1,0,0,3
Furniture,12000,4,48000,21,Male,North,Corporate,0,21,Neutral,2020,2,1,4,0,304,48000,12000,0,0,1.75,0,0,0,1,18-25,Medium,757000,126166.67,6,34409.09090909091,32,5,1,1,1,1,1,0,2
Electronics,12000,3,36000,64,Male,West,Corporate,0,23,Neutral,2021,4,2,4,0,209,36000,12000,0,0,1.9166666666666667,0,0,0,1,55+,Medium,351000,58500.0,6,14625.0,34,4,1,3,1,1,0,4,2
Electronics,3000,3,9000,27,Male,East,Consumer,1,27,Positive,2023,2,1,2,0,246,9000,3000,0,0,2.25,0,0,0,1,26-35,Low,9000,9000.0,1,321.42857142857144,30,4,1,0,0,2,0,1,1
Electronics,12000,4,48000,20,Female,South,Corporate,0,59,Negative,2023,1,1,0,0,240,48000,12000,0,0,4.916666666666667,0,1,0,1,18-25,Medium,73300,24433.33,3,1221.6666666666667,29,5,0,2,1,0,0,0,2
Electronics,70000,1,70000,52,Male,West,Corporate,1,9,Positive,2021,3,1,4,0,54,70000,70000,0,0,0.75,0,0,0,0,46-55,Premium,153000,30600.0,5,15300.0,27,3,1,3,1,2,0,3,3
Electronics,45000,1,45000,28,Male,East,Small Business,1,23,Positive,2020,7,3,5,1,182,45000,45000,0,0,1.9166666666666667,0,0,0,1,26-35,High,48700,12175.0,4,2029.1666666666667,41,7,1,0,2,2,0,1,0
Electronics,15000,4,60000,22,Female,South,Small Business,0,32,Positive,2020,11,4,3,0,221,60000,15000,0,0,2.6666666666666665,0,0,0,1,18-25,Medium,200000,66666.67,3,6060.606060606061,41,7,0,2,2,2,0,0,2
Electronics,45000,1,45000,44,Male,West,Consumer,0,10,Neutral,2023,8,3,5,1,79,45000,45000,0,0,0.8333333333333334,0,0,0,0,36-45,High,235500,58875.0,4,21409.090909090908,34,4,1,3,0,1,0,2,0
Electronics,3000,3,9000,47,Female,North,Corporate,0,31,Positive,2022,10,4,3,0,124,9000,3000,0,0,2.5833333333333335,0,0,0,0,46-55,Low,45500,15166.67,3,1421.875,30,4,0,1,1,2,0,3,1
Electronics,15000,4,60000,54,Female,East,Small Business,1,38,Neutral,2020,10,4,0,0,234,60000,15000,0,0,3.1666666666666665,0,1,0,1,46-55,Medium,790000,131666.67,6,20256.410256410258,32,5,0,0,2,1,0,3,2
Electronics,15000,5,75000,51,Female,West,Corporate,0,3,Positive,2022,4,2,5,1,14,75000,15000,0,0,0.25,1,0,1,0,46-55,Medium,294000,49000.0,6,73500.0,27,3,0,3,1,2,0,3,2
Electronics,12000,1,12000,24,Male,South,Corporate,0,50,Positive,2023,1,1,5,1,164,12000,12000,0,0,4.166666666666667,0,1,0,0,18-25,Medium,105800,17633.33,6,2074.5098039215686,27,3,1,2,1,2,0,0,2
Electronics,25000,5,125000,24,Female,North,Small Business,0,47,Neutral,2021,9,3,4,0,264,125000,25000,1,0,3.9166666666666665,0,1,0,1,18-25,Medium,131000,65500.0,2,2729.1666666666665,39,6,0,1,2,1,0,0,2
Office Supplies,100,3,300,44,Female,North,Corporate,0,46,Positive,2021,2,1,0,0,261,300,100,0,0,3.8333333333333335,0,1,0,1,36-45,Low,145300,24216.67,6,3091.4893617021276,41,7,0,1,1,2,2,2,1
Electronics,3000,1,3000,24,Female,West,Corporate,1,7,Positive,2020,4,2,5,1,344,3000,3000,0,0,0.5833333333333334,0,0,0,1,18-25,Low,252000,50400.0,5,31500.0,30,4,0,3,1,2,0,0,1
Electronics,3000,2,6000,20,Male,West,Small Business,0,39,Neutral,2021,11,4,3,0,85,6000,3000,0,0,3.25,0,1,0,0,18-25,Low,259000,64750.0,4,6475.0,32,5,1,3,2,1,0,0,1
Furniture,8000,2,16000,38,Male,North,Consumer,0,1,Positive,2022,2,1,1,0,55,16000,8000,0,0,0.08333333333333333,1,0,0,0,36-45,Low,344000,57333.33,6,172000.0,30,4,1,1,0,2,1,2,1
Electronics,12000,4,48000,26,Male,North,Small Business,0,39,Neutral,2021,5,2,4,0,275,48000,12000,0,0,3.25,0,1,0,1,26-35,Medium,431400,71900.0,6,10785.0,34,4,1,1,2,1,0,1,2
Electronics,3000,1,3000,23,Female,South,Corporate,0,41,Neutral,2022,7,3,2,0,210,3000,3000,0,0,3.4166666666666665,0,1,0,1,18-25,Low,15000,7500.0,2,357.14285714285717,32,5,0,2,1,1,0,0,1
Furniture,8000,3,24000,51,Male,East,Corporate,0,24,Positive,2020,9,3,3,0,230,24000,8000,0,0,2.0,0,0,0,1,46-55,Low,189000,47250.0,4,7560.0,30,4,1,0,1,2,1,3,1
Electronics,25000,4,100000,25,Female,South,Corporate,0,24,Positive,2020,11,4,3,0,227,100000,25000,0,0,2.0,0,0,0,1,18-25,Medium,325300,108433.33,3,13012.0,27,3,0,2,1,2,0,0,2
Electronics,45000,5,225000,43,Female,East,Consumer,0,35,Neutral,2022,5,2,4,0,204,225000,45000,1,0,2.9166666666666665,0,0,0,1,36-45,High,641000,160250.0,4,17805.555555555555,39,6,0,0,0,1,0,2,0
Furniture,12000,3,36000,51,Female,North,Small Business,1,39,Positive,2022,4,2,2,0,294,36000,12000,0,0,3.25,0,1,0,1,46-55,Medium,68000,22666.67,3,1700.0,27,3,0,1,2,2,1,3,2
Electronics,45000,3,135000,37,Female,North,Corporate,0,14,Positive,2022,5,2,0,0,135,135000,45000,1,0,1.1666666666666667,0,0,0,0,36-45,High,568200,94700.0,6,37880.0,41,7,0,1,1,2,0,2,0
Electronics,15000,1,15000,31,Male,West,Small Business,0,20,Neutral,2021,10,4,3,0,108,15000,15000,0,0,1.6666666666666667,0,0,0,0,26-35,Medium,75000,25000.0,3,3571.4285714285716,39,6,1,3,2,1,0,1,2
Electronics,3000,4,12000,61,Male,South,Small Business,0,24,Neutral,2020,2,1,0,0,159,12000,3000,0,0,2.0,0,0,0,0,55+,Low,183000,30500.0,6,7320.0,39,6,1,2,2,1,0,4,1
Electronics,12000,3,36000,35,Male,North,Consumer,0,50,Neutral,2023,4,2,4,0,115,36000,12000,0,0,4.166666666666667,0,1,0,0,26-35,Medium,349000,69800.0,5,6843.137254901961,39,6,1,1,0,1,0,1,2
Furniture,12000,1,12000,55,Male,West,Consumer,0,22,Positive,2023,5,2,5,1,253,12000,12000,0,0,1.8333333333333333,0,0,0,1,46-55,Medium,84000,21000.0,4,3652.1739130434785,27,3,1,3,0,2,1,3,2
Electronics,45000,3,135000,22,Male,East,Corporate,1,1,Negative,2021,5,2,6,1,208,135000,45000,1,0,0.08333333333333333,1,0,0,1,18-25,High,428000,85600.0,5,214000.0,29,5,1,0,1,0,0,0,0
Electronics,45000,5,225000,52,Female,South,Consumer,1,39,Neutral,2020,2,1,3,0,325,225000,45000,1,0,3.25,0,1,0,1,46-55,High,535000,107000.0,5,13375.0,34,4,0,2,0,1,0,3,0
Electronics,15000,1,15000,42,Female,South,Corporate,0,22,Negative,2022,9,3,3,0,85,15000,15000,0,0,1.8333333333333333,0,0,0,0,36-45,Medium,108500,27125.0,4,4717.391304347826,29,5,0,2,1,0,0,2,2
Office Supplies,100,3,300,41,Female,East,Small Business,1,44,Neutral,2023,3,1,4,0,339,300,100,0,0,3.6666666666666665,0,1,0,1,36-45,Low,56300,18766.67,3,1251.111111111111,32,5,0,0,2,1,2,2,1
Electronics,3000,2,6000,63,Male,South,Small Business,0,50,Positive,2023,5,2,0,0,119,6000,3000,0,0,4.166666666666667,0,1,0,0,55+,Low,468000,93600.0,5,9176.470588235294,30,4,1,2,2,2,0,4,1
Electronics,12000,1,12000,20,Male,East,Corporate,1,43,Positive,2021,9,3,0,0,65,12000,12000,0,0,3.5833333333333335,0,1,0,0,18-25,Medium,533000,133250.0,4,12113.636363636364,27,3,1,0,1,2,0,0,2
Furniture,12000,5,60000,18,Male,West,Corporate,1,36,Neutral,2023,2,1,5,1,80,60000,12000,0,0,3.0,0,1,0,0,18-25,Medium,108300,27075.0,4,2927.027027027027,34,4,1,3,1,1,1,0,2
Electronics,70000,4,280000,60,Female,South,Consumer,0,4,Negative,2022,2,1,0,0,329,280000,70000,1,0,0.3333333333333333,1,0,0,1,55+,Premium,540000,135000.0,4,108000.0,40,6,0,2,0,0,0,4,3
Electronics,45000,4,180000,54,Male,East,Small Business,0,18,Positive,2022,6,2,2,0,170,180000,45000,1,0,1.5,0,0,0,0,46-55,High,364000,72800.0,5,19157.894736842107,41,7,1,0,2,2,0,3,0
Furniture,12000,3,36000,47,Female,East,Consumer,1,36,Positive,2020,10,4,5,1,68,36000,12000,0,0,3.0,0,1,0,0,46-55,Medium,541100,135275.0,4,14624.324324324325,41,7,0,0,0,2,1,3,2
Electronics,3000,2,6000,29,Male,East,Consumer,0,21,Neutral,2023,4,2,1,0,46,6000,3000,0,0,1.75,0,0,0,0,26-35,Low,90000,30000.0,3,4090.909090909091,27,4,1,0,0,1,0,1,1
Electronics,25000,2,50000,43,Female,South,Small Business,1,50,Neutral,2023,2,1,4,0,363,50000,25000,0,0,4.166666666666667,0,1,0,1,36-45,Medium,216000,36000.0,6,4235.294117647059,34,4,0,2,2,1,0,2,2
Electronics,25000,1,25000,39,Female,South,Corporate,1,7,Neutral,2021,11,4,5,1,362,25000,25000,0,0,0.5833333333333334,0,0,0,1,36-45,Medium,79000,26333.33,3,9875.0,32,5,0,2,1,1,0,2,2
Electronics,3000,3,9000,34,Female,South,Corporate,0,19,Positive,2020,8,3,0,0,175,9000,3000,0,0,1.5833333333333333,0,0,0,0,26-35,Low,90100,22525.0,4,4505.0,27,3,0,2,1,2,0,1,1
Furniture,8000,3,24000,54,Female,North,Small Business,0,25,Positive,2020,10,4,2,0,235,24000,8000,0,0,2.0833333333333335,0,0,0,1,46-55,Low,48400,16133.33,3,1861.5384615384614,27,3,0,1,2,2,1,3,1
Electronics,3000,4,12000,56,Female,West,Consumer,0,20,Neutral,2022,7,3,6,1,197,12000,3000,0,0,1.6666666666666667,0,0,0,1,55+,Low,198000,49500.0,4,9428.57142857143,39,6,0,3,0,1,0,4,1
Furniture,8000,5,40000,46,Male,East,Corporate,0,53,Negative,2022,8,3,1,0,266,40000,8000,0,0,4.416666666666667,0,1,0,1,46-55,Low,530000,75714.29,7,9814.814814814816,29,5,1,0,1,0,1,3,1
Office Supplies,100,3,300,48,Male,East,Small Business,0,33,Positive,2020,2,1,3,0,244,300,100,0,0,2.75,0,0,0,1,46-55,Low,539300,134825.0,4,15861.764705882353,30,4,1,0,2,2,2,3,1
Furniture,8000,4,32000,24,Female,East,Consumer,0,15,Neutral,2021,6,2,3,0,115,32000,8000,0,0,1.25,0,0,0,0,18-25,Low,32400,16200.0,2,2025.0,39,6,0,0,0,1,1,0,1
Electronics,12000,5,60000,22,Female,South,Consumer,0,23,Neutral,2021,4,2,3,0,107,60000,12000,0,0,1.9166666666666667,0,0,0,0,18-25,Medium,353100,50442.86,7,14712.5,32,5,0,2,0,1,0,0,2
Furniture,12000,4,48000,36,Male,East,Consumer,0,30,Negative,2023,1,1,1,0,11,48000,12000,0,0,2.5,0,0,1,0,36-45,Medium,242200,30275.0,8,7812.903225806452,29,5,1,0,0,0,1,2,2
Furniture,12000,2,24000,22,Male,North,Consumer,0,30,Neutral,2022,11,4,0,0,64,24000,12000,0,0,2.5,0,0,0,0,18-25,Medium,545000,136250.0,4,17580.645161290322,32,5,1,1,0,1,1,0,2
Electronics,70000,4,280000,34,Female,East,Corporate,0,23,Neutral,2022,5,2,5,1,64,280000,70000,1,0,1.9166666666666667,0,0,0,0,26-35,Premium,296000,148000.0,2,12333.333333333334,27,4,0,0,1,1,0,1,3
Furniture,12000,3,36000,33,Male,West,Small Business,0,57,Neutral,2023,5,2,3,0,192,36000,12000,0,0,4.75,0,1,0,1,26-35,Medium,235400,33628.57,7,4058.6206896551726,25,5,1,3,2,1,1,1,2
Electronics,15000,4,60000,44,Male,West,Consumer,0,2,Neutral,2022,12,4,4,0,363,60000,15000,0,0,0.16666666666666666,1,0,0,1,36-45,Medium,281000,56200.0,5,93666.66666666667,27,4,1,3,0,1,0,2,2
Electronics,70000,4,280000,28,Female,South,Small Business,1,12,Neutral,2023,5,2,5,1,23,280000,70000,1,0,1.0,0,0,1,0,26-35,Premium,574000,114800.0,5,44153.846153846156,39,6,0,2,2,1,0,1,3
Electronics,25000,3,75000,20,Male,North,Corporate,0,55,Neutral,2023,4,2,5,1,190,75000,25000,0,0,4.583333333333333,0,1,0,1,18-25,Medium,393000,78600.0,5,7017.857142857143,27,4,1,1,1,1,0,0,2
Furniture,12000,1,12000,44,Female,West,Consumer,0,12,Neutral,2023,10,4,2,0,170,12000,12000,0,0,1.0,0,0,0,0,36-45,Medium,36400,12133.33,3,2800.0,39,6,0,3,0,1,1,2,2
Furniture,12000,5,60000,52,Female,East,Consumer,0,14,Positive,2021,5,2,0,0,263,60000,12000,0,0,1.1666666666666667,0,0,0,1,46-55,Medium,95000,31666.67,3,6333.333333333333,41,7,0,0,0,2,1,3,2
Electronics,3000,4,12000,59,Male,East,Corporate,0,2,Positive,2022,4,2,1,0,109,12000,3000,0,0,0.16666666666666666,1,0,0,0,55+,Low,87600,21900.0,4,29200.0,41,7,1,0,1,2,0,4,1
Office Supplies,100,4,400,61,Female,West,Corporate,0,1,Neutral,2022,3,1,4,0,261,400,100,0,0,0.08333333333333333,1,0,0,1,55+,Low,550400,137600.0,4,275200.0,34,4,0,3,1,1,2,4,1
Electronics,25000,3,75000,60,Female,East,Small Business,0,19,Neutral,2023,12,4,0,0,98,75000,25000,0,0,1.5833333333333333,0,0,0,0,55+,Medium,78000,39000.0,2,3900.0,27,4,0,0,2,1,0,4,2
Office Supplies,100,1,100,36,Female,West,Corporate,0,23,Neutral,2020,12,4,3,0,312,100,100,0,0,1.9166666666666667,0,0,0,1,36-45,Low,512100,102420.0,5,21337.5,25,5,0,3,1,1,2,2,1
Electronics,15000,5,75000,22,Male,East,Consumer,0,55,Negative,2020,8,3,3,0,38,75000,15000,0,0,4.583333333333333,0,1,0,0,18-25,Medium,167000,41750.0,4,2982.1428571428573,29,5,1,0,0,0,0,0,2
Furniture,8000,4,32000,40,Female,South,Small Business,0,56,Neutral,2023,4,2,0,0,202,32000,8000,0,0,4.666666666666667,0,1,0,1,36-45,Low,47400,15800.0,3,831.578947368421,32,5,0,2,2,1,1,2,1
Furniture,8000,5,40000,38,Female,South,Consumer,0,39,Neutral,2021,1,1,6,1,114,40000,8000,0,0,3.25,0,1,0,0,36-45,Low,173000,43250.0,4,4325.0,27,4,0,2,0,1,1,2,1
Office Supplies,100,5,500,45,Female,North,Corporate,0,34,Positive,2020,2,1,1,0,130,500,100,0,0,2.8333333333333335,0,0,0,0,36-45,Low,491500,81916.67,6,14042.857142857143,30,4,0,1,1,2,2,2,1
Electronics,12000,2,24000,61,Female,West,Corporate,0,34,Neutral,2021,4,2,5,1,68,24000,12000,0,0,2.8333333333333335,0,0,0,0,55+,Medium,211400,35233.33,6,6040.0,34,4,0,3,1,1,0,4,2
Electronics,3000,4,12000,52,Male,West,Consumer,0,17,Negative,2022,1,1,3,0,199,12000,3000,0,0,1.4166666666666667,0,0,0,1,46-55,Low,319000,53166.67,6,17722.222222222223,29,5,1,3,0,0,0,3,1
Furniture,12000,5,60000,60,Female,East,Consumer,0,22,Neutral,2023,9,3,3,0,4,60000,12000,0,0,1.8333333333333333,0,0,1,0,55+,Medium,624000,104000.0,6,27130.434782608696,25,5,0,0,0,1,1,4,2
Electronics,45000,5,225000,57,Female,North,Consumer,0,7,Positive,2020,5,2,6,1,68,225000,45000,1,0,0.5833333333333334,0,0,0,0,55+,High,441000,73500.0,6,55125.0,27,3,0,1,0,2,0,4,0
Furniture,12000,1,12000,61,Female,South,Consumer,0,33,Neutral,2021,11,4,0,0,146,12000,12000,0,0,2.75,0,0,0,0,55+,Medium,203000,40600.0,5,5970.588235294118,32,5,0,2,0,1,1,4,2
Electronics,12000,1,12000,42,Male,East,Small Business,1,41,Neutral,2020,4,2,6,1,249,12000,12000,0,0,3.4166666666666665,0,1,0,1,36-45,Medium,111500,15928.57,7,2654.7619047619046,34,4,1,0,2,1,0,2,2
Furniture,12000,1,12000,36,Male,West,Small Business,0,32,Neutral,2022,6,2,5,1,41,12000,12000,0,0,2.6666666666666665,0,0,0,0,36-45,Medium,220300,44060.0,5,6675.757575757576,39,6,1,3,2,1,1,2,2
Furniture,12000,4,48000,27,Male,North,Small Business,0,12,Positive,2023,2,1,6,1,183,48000,12000,0,0,1.0,0,0,0,1,26-35,Medium,103200,25800.0,4,7938.461538461538,41,7,1,1,2,2,1,1,2
Electronics,15000,1,15000,55,Male,West,Corporate,0,23,Neutral,2021,3,1,4,0,176,15000,15000,0,0,1.9166666666666667,0,0,0,0,46-55,Medium,340000,85000.0,4,14166.666666666666,27,4,1,3,1,1,0,3,2
Furniture,12000,2,24000,61,Male,South,Consumer,1,1,Neutral,2023,9,3,4,0,115,24000,12000,0,0,0.08333333333333333,1,0,0,0,55+,Medium,194000,64666.67,3,97000.0,32,5,1,2,0,1,1,4,2
