customer_id,feedback_text,sentiment_category,compound,dominant_topic,topic_probability
CUST01285,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00067,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST00583,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00797,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00901,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST00251,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01642,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00048,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST00004,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00972,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST01779,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01345,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01664,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST00266,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01920,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST01297,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01930,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00986,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01770,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST00589,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01870,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01726,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01631,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST00988,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01211,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01090,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST00927,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST00989,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00675,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00131,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01019,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01067,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST00488,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01488,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST00476,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST00785,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01899,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST00571,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01485,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01747,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00250,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01299,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01818,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00232,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00230,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01380,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00415,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01642,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01091,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01390,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01094,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST00028,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST00766,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01412,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01178,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01531,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST00563,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01396,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01792,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST01127,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01615,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01865,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST01125,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01861,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00082,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00178,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00682,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01581,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00060,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01682,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01920,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01965,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST00138,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01720,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01024,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST01712,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00067,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00111,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01790,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00120,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01846,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01962,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01123,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01140,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00668,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST01671,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST01428,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST00763,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01215,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST01398,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01993,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01510,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01074,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00018,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01582,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01447,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST00780,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00276,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01341,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST01160,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST00535,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00071,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01642,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST00028,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00751,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01028,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01747,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST00051,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00048,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01671,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST00004,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01867,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00462,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST00202,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST00547,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01887,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01615,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST00815,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01181,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00110,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01430,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST00008,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST01838,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01091,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00538,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01712,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01595,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST00361,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01855,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST00616,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01973,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST00471,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00184,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01272,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01976,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01919,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST00698,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01441,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00646,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST01816,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01761,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST01299,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01359,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST01307,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00411,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01026,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST00603,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01134,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01789,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00221,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST00414,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST00235,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00415,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01207,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01504,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01915,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01506,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00175,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01364,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00794,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00799,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00345,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST00222,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01954,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01212,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00333,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00214,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01655,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00150,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST02000,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST01787,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST01162,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST00906,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01476,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01075,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01590,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00285,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST00243,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST00366,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01434,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST00627,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01161,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01326,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST00849,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST00312,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01683,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST00591,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01837,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST00286,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST00546,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01952,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00894,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST01826,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST01068,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST00023,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00934,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00405,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST00012,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST01983,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST01114,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST00031,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01505,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST01460,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01408,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST00861,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST01393,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST00045,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01222,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST00118,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00116,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01967,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST00747,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01419,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST00367,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00085,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01461,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST00663,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01867,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST00264,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01712,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST00106,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01439,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST00077,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01888,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01500,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00239,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST00258,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01793,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00378,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00924,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST01761,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST01281,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST00180,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST01806,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST00855,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST01092,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01923,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01016,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST00676,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST00377,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST01447,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00258,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST01625,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST00351,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST01559,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST01251,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST00945,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01978,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01645,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01087,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00820,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST00748,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST00748,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00704,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01079,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01096,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST00168,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST01340,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01029,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00783,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST00409,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST00621,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST00474,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00275,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01285,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00542,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01170,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01310,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST00554,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST01761,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01494,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01366,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST01635,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01997,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01784,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST01433,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST00993,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00821,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01138,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST01230,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST00011,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01261,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01185,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST00243,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00217,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST01824,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01585,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00945,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST01276,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00680,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00676,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00735,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST00428,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01446,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST01176,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST00389,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01448,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST01433,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST00003,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST00871,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST01442,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01034,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00487,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01381,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01749,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST00017,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00448,"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
CUST01494,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00165,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST00472,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00506,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST01470,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00793,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00853,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST01454,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00771,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST00252,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00387,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00784,"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
CUST01000,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00536,Too expensive for the features offered.,Neutral,0.0,0,0.7527863576182771
CUST01253,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01943,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST00263,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST00107,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST00648,Highly recommend to others.,Positive,0.4201,4,0.707179570886235
CUST00564,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01690,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01431,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST00477,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01627,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST00015,Product quality could be better.,Positive,0.4404,2,0.7521630995888039
CUST00953,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
CUST01304,Excellent customer service.,Positive,0.5719,3,0.7527862865873713
CUST01425,"Met expectations, nothing special.",Negative,-0.3089,3,0.7527862849757898
CUST01455,"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
CUST01219,Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
CUST00268,"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
