sale_id,customer_id,sentiment_category,compound,total_value,price,quantity,feedback_text,word_count,sentence_count
S000052,CUST00988,Positive,0.6808,60000,15000,4,"Worth the price, happy with the purchase.",4,1
S000053,CUST01211,Negative,-0.3089,45000,45000,1,"Met expectations, nothing special.",4,1
S000054,CUST01090,Positive,0.8016,9000,3000,3,"Great product, very satisfied.",3,1
S000055,CUST00927,Positive,0.4404,60000,15000,4,Product quality could be better.,4,1
S000056,CUST00989,Positive,0.5719,75000,15000,5,Excellent customer service.,3,1
S000057,CUST00675,Positive,0.5719,12000,12000,1,Excellent customer service.,3,1
S000058,CUST00131,Neutral,0.0,125000,25000,5,Too expensive for the features offered.,4,1
S000059,CUST01019,Positive,0.6808,300,100,3,"Worth the price, happy with the purchase.",4,1
S000060,CUST01067,Positive,0.8016,3000,3000,1,"Great product, very satisfied.",3,1
S000061,CUST00488,Positive,0.4404,6000,3000,2,Product quality could be better.,4,1
S000062,CUST01488,Positive,0.8016,16000,8000,2,"Great product, very satisfied.",3,1
S000063,CUST00476,Negative,-0.3089,48000,12000,4,"Met expectations, nothing special.",4,1
S000064,CUST00785,Positive,0.4404,3000,3000,1,Product quality could be better.,4,1
S000065,CUST01899,Positive,0.8016,24000,8000,3,"Great product, very satisfied.",3,1
S000066,CUST00571,Positive,0.5719,100000,25000,4,Excellent customer service.,3,1
S000067,CUST01485,Neutral,0.0,225000,45000,5,Too expensive for the features offered.,4,1
S000068,CUST01747,Positive,0.5719,36000,12000,3,Excellent customer service.,3,1
S000069,CUST00250,Positive,0.8016,200,50,4,"Great product, very satisfied.",3,1
S000070,CUST01299,Positive,0.6808,135000,45000,3,"Worth the price, happy with the purchase.",4,1
S000071,CUST01818,Neutral,0.0,15000,15000,1,Too expensive for the features offered.,4,1
S000072,CUST00232,Positive,0.4404,250,50,5,Easy to use and reliable.,3,1
S000073,CUST00230,Neutral,0.0,12000,3000,4,Too expensive for the features offered.,4,1
S000074,CUST01380,Neutral,0.0,36000,12000,3,Too expensive for the features offered.,4,1
S000075,CUST00415,Positive,0.5719,12000,12000,1,Excellent customer service.,3,1
S000076,CUST01642,Negative,-0.4585,135000,45000,3,"Delivery was late, not happy.",3,1
S000077,CUST01091,Negative,-0.3089,225000,45000,5,"Met expectations, nothing special.",4,1
S000078,CUST01390,Negative,-0.4585,15000,15000,1,"Delivery was late, not happy.",3,1
S000079,CUST01094,Positive,0.4404,300,100,3,Product quality could be better.,4,1
S000080,CUST00028,Positive,0.8016,6000,3000,2,"Great product, very satisfied.",3,1
S000081,CUST00766,Positive,0.5719,12000,12000,1,Excellent customer service.,3,1
S000082,CUST01412,Negative,-0.3089,60000,12000,5,"Met expectations, nothing special.",4,1
S000083,CUST01178,Negative,-0.4585,50,50,1,"Delivery was late, not happy.",3,1
S000084,CUST01531,Negative,-0.4767,280000,70000,4,"Terrible experience, will not buy again.",3,1
S000085,CUST00563,Positive,0.6808,180000,45000,4,"Worth the price, happy with the purchase.",4,1
S000086,CUST01396,Positive,0.6808,36000,12000,3,"Worth the price, happy with the purchase.",4,1
S000087,CUST01792,Positive,0.4201,6000,3000,2,Highly recommend to others.,3,1
S000088,CUST01127,Negative,-0.3089,50000,25000,2,"Met expectations, nothing special.",4,1
S000089,CUST01615,Positive,0.4404,25000,25000,1,Product quality could be better.,4,1
S000090,CUST01865,Positive,0.4201,150,50,3,Highly recommend to others.,3,1
S000091,CUST01125,Positive,0.5719,9000,3000,3,Excellent customer service.,3,1
S000092,CUST01861,Positive,0.5719,24000,8000,3,Excellent customer service.,3,1
S000093,CUST00082,Neutral,0.0,12000,3000,4,Too expensive for the features offered.,4,1
S000094,CUST00178,Neutral,0.0,100,50,2,Too expensive for the features offered.,4,1
S000095,CUST00682,Negative,-0.4585,40000,8000,5,"Delivery was late, not happy.",3,1
S000096,CUST01581,Positive,0.4404,50,50,1,Easy to use and reliable.,3,1
S000097,CUST00060,Positive,0.8016,250,50,5,"Great product, very satisfied.",3,1
S000098,CUST01682,Positive,0.8016,300,100,3,"Great product, very satisfied.",3,1
S000099,CUST01920,Neutral,0.0,32000,8000,4,Too expensive for the features offered.,4,1
S000100,CUST01965,Positive,0.4404,60000,12000,5,Product quality could be better.,4,1
S000101,CUST00138,Negative,-0.4585,48000,12000,4,"Delivery was late, not happy.",3,1
S000102,CUST01720,Positive,0.4404,24000,12000,2,Product quality could be better.,4,1
S000103,CUST01024,Positive,0.4201,280000,70000,4,Highly recommend to others.,3,1
S000104,CUST01712,Positive,0.4404,36000,12000,3,Easy to use and reliable.,3,1
S000105,CUST00067,Positive,0.4201,60000,15000,4,Highly recommend to others.,3,1
S000106,CUST00111,Neutral,0.0,280000,70000,4,Too expensive for the features offered.,4,1
S000107,CUST01790,Positive,0.4201,75000,25000,3,Highly recommend to others.,3,1
S000108,CUST00120,Neutral,0.0,12000,12000,1,Too expensive for the features offered.,4,1
S000109,CUST01846,Positive,0.6808,60000,12000,5,"Worth the price, happy with the purchase.",4,1
S000110,CUST01962,Positive,0.6808,12000,3000,4,"Worth the price, happy with the purchase.",4,1
S000111,CUST01123,Negative,-0.3089,400,100,4,"Met expectations, nothing special.",4,1
S000112,CUST01140,Positive,0.4201,75000,25000,3,Highly recommend to others.,3,1
S000113,CUST00668,Positive,0.4201,250,50,5,Highly recommend to others.,3,1
S000114,CUST01671,Positive,0.4404,100,100,1,Easy to use and reliable.,3,1
S000115,CUST01428,Negative,-0.4585,75000,15000,5,"Delivery was late, not happy.",3,1
S000116,CUST00763,Positive,0.4404,32000,8000,4,Product quality could be better.,4,1
S000117,CUST01215,Positive,0.4201,40000,8000,5,Highly recommend to others.,3,1
S000118,CUST01398,Positive,0.8016,500,100,5,"Great product, very satisfied.",3,1
S000119,CUST01993,Negative,-0.3089,24000,12000,2,"Met expectations, nothing special.",4,1
S000120,CUST01510,Negative,-0.4585,12000,3000,4,"Delivery was late, not happy.",3,1
S000121,CUST01074,Positive,0.4404,60000,12000,5,Easy to use and reliable.,3,1
S000122,CUST00018,Positive,0.5719,225000,45000,5,Excellent customer service.,3,1
S000123,CUST01582,Positive,0.4404,12000,12000,1,Product quality could be better.,4,1
S000124,CUST01447,Negative,-0.3089,12000,12000,1,"Met expectations, nothing special.",4,1
S000125,CUST00780,Neutral,0.0,12000,12000,1,Too expensive for the features offered.,4,1
S000126,CUST00276,Positive,0.6808,48000,12000,4,"Worth the price, happy with the purchase.",4,1
S000127,CUST01341,Positive,0.4201,15000,15000,1,Highly recommend to others.,3,1
S000128,CUST01160,Positive,0.4404,24000,12000,2,Product quality could be better.,4,1
S000129,CUST00535,Positive,0.4404,9000,3000,3,Easy to use and reliable.,3,1
S000130,CUST00071,Neutral,0.0,300,100,3,Too expensive for the features offered.,4,1
S000131,CUST01642,Positive,0.6808,225000,45000,5,"Worth the price, happy with the purchase.",4,1
S000132,CUST00028,Neutral,0.0,350000,70000,5,Too expensive for the features offered.,4,1
S000133,CUST00751,Positive,0.5719,8000,8000,1,Excellent customer service.,3,1
S000134,CUST01028,Positive,0.4404,50,50,1,Product quality could be better.,4,1
S000135,CUST01747,Negative,-0.4585,8000,8000,1,"Delivery was late, not happy.",3,1
S000136,CUST00051,Positive,0.4201,36000,12000,3,Highly recommend to others.,3,1
S000137,CUST00048,Positive,0.4404,135000,45000,3,Product quality could be better.,4,1
S000138,CUST01671,Negative,-0.4767,12000,12000,1,"Terrible experience, will not buy again.",3,1
S000139,CUST00004,Positive,0.4404,48000,12000,4,Product quality could be better.,4,1
S000140,CUST01867,Positive,0.4404,6000,3000,2,Easy to use and reliable.,3,1
S000141,CUST00462,Positive,0.6808,6000,3000,2,"Worth the price, happy with the purchase.",4,1
S000142,CUST00202,Positive,0.4404,48000,12000,4,Product quality could be better.,4,1
S000143,CUST00547,Positive,0.6808,48000,12000,4,"Worth the price, happy with the purchase.",4,1
S000144,CUST01887,Negative,-0.3089,150,50,3,"Met expectations, nothing special.",4,1
S000145,CUST01615,Negative,-0.3089,9000,3000,3,"Met expectations, nothing special.",4,1
S000146,CUST00815,Negative,-0.4585,6000,3000,2,"Delivery was late, not happy.",3,1
S000147,CUST01181,Positive,0.4404,70000,70000,1,Easy to use and reliable.,3,1
S000148,CUST00110,Negative,-0.4585,135000,45000,3,"Delivery was late, not happy.",3,1
S000149,CUST01430,Negative,-0.3089,15000,15000,1,"Met expectations, nothing special.",4,1
S000150,CUST00008,Positive,0.4404,100000,25000,4,Easy to use and reliable.,3,1
S000151,CUST01838,Positive,0.4404,50000,25000,2,Product quality could be better.,4,1
S000152,CUST01091,Positive,0.5719,200,50,4,Excellent customer service.,3,1
S000153,CUST00538,Negative,-0.4585,350000,70000,5,"Delivery was late, not happy.",3,1
S000154,CUST01712,Negative,-0.4585,15000,3000,5,"Delivery was late, not happy.",3,1
S000155,CUST01595,Positive,0.8016,100,50,2,"Great product, very satisfied.",3,1
S000156,CUST00361,Neutral,0.0,90000,45000,2,Too expensive for the features offered.,4,1
S000157,CUST01855,Negative,-0.4767,48000,12000,4,"Terrible experience, will not buy again.",3,1
S000158,CUST00616,Positive,0.4404,48000,12000,4,Product quality could be better.,4,1
S000159,CUST01973,Positive,0.8016,15000,3000,5,"Great product, very satisfied.",3,1
S000160,CUST00471,Positive,0.4201,60000,12000,5,Highly recommend to others.,3,1
S000161,CUST00184,Neutral,0.0,25000,25000,1,Too expensive for the features offered.,4,1
S000162,CUST01272,Positive,0.4404,24000,12000,2,Product quality could be better.,4,1
S000163,CUST01976,Positive,0.5719,8000,8000,1,Excellent customer service.,3,1
S000164,CUST01919,Positive,0.4404,350000,70000,5,Product quality could be better.,4,1
S000165,CUST00698,Positive,0.6808,12000,12000,1,"Worth the price, happy with the purchase.",4,1
S000166,CUST01441,Positive,0.4404,9000,3000,3,Easy to use and reliable.,3,1
S000167,CUST00646,Positive,0.4201,3000,3000,1,Highly recommend to others.,3,1
S000168,CUST01816,Positive,0.4404,60000,15000,4,Product quality could be better.,4,1
S000169,CUST01761,Positive,0.4201,135000,45000,3,Highly recommend to others.,3,1
S000170,CUST01299,Negative,-0.4585,32000,8000,4,"Delivery was late, not happy.",3,1
S000171,CUST01359,Positive,0.4404,60000,12000,5,Easy to use and reliable.,3,1
S000172,CUST01307,Positive,0.5719,140000,70000,2,Excellent customer service.,3,1
S000173,CUST00411,Neutral,0.0,90000,45000,2,Too expensive for the features offered.,4,1
S000174,CUST01026,Negative,-0.3089,250,50,5,"Met expectations, nothing special.",4,1
S000175,CUST00603,Positive,0.8016,90000,45000,2,"Great product, very satisfied.",3,1
S000176,CUST01134,Negative,-0.4585,180000,45000,4,"Delivery was late, not happy.",3,1
S000177,CUST01789,Neutral,0.0,350000,70000,5,Too expensive for the features offered.,4,1
S000178,CUST00221,Positive,0.4404,350000,70000,5,Product quality could be better.,4,1
S000179,CUST00414,Negative,-0.3089,24000,12000,2,"Met expectations, nothing special.",4,1
S000180,CUST00235,Positive,0.4404,12000,12000,1,Easy to use and reliable.,3,1
S000181,CUST00415,Neutral,0.0,3000,3000,1,Too expensive for the features offered.,4,1
S000182,CUST01207,Positive,0.6808,100000,25000,4,"Worth the price, happy with the purchase.",4,1
S000183,CUST01504,Positive,0.6808,75000,25000,3,"Worth the price, happy with the purchase.",4,1
S000184,CUST01915,Negative,-0.3089,250,50,5,"Met expectations, nothing special.",4,1
S000185,CUST01506,Positive,0.4404,100,100,1,Easy to use and reliable.,3,1
S000186,CUST00175,Neutral,0.0,100,50,2,Too expensive for the features offered.,4,1
S000187,CUST01364,Positive,0.4404,24000,12000,2,Easy to use and reliable.,3,1
S000188,CUST00794,Neutral,0.0,24000,8000,3,Too expensive for the features offered.,4,1
S000189,CUST00799,Positive,0.4201,200,50,4,Highly recommend to others.,3,1
S000190,CUST00345,Positive,0.8016,100,50,2,"Great product, very satisfied.",3,1
S000191,CUST00222,Positive,0.8016,300,100,3,"Great product, very satisfied.",3,1
S000192,CUST01954,Positive,0.4404,140000,70000,2,Product quality could be better.,4,1
S000193,CUST01212,Positive,0.4404,140000,70000,2,Easy to use and reliable.,3,1
S000194,CUST00333,Neutral,0.0,15000,3000,5,Too expensive for the features offered.,4,1
S000195,CUST00214,Positive,0.5719,50,50,1,Excellent customer service.,3,1
S000196,CUST01655,Positive,0.4201,60000,15000,4,Highly recommend to others.,3,1
S000197,CUST00150,Positive,0.4201,100,100,1,Highly recommend to others.,3,1
S000198,CUST02000,Negative,-0.4767,32000,8000,4,"Terrible experience, will not buy again.",3,1
S000199,CUST01787,Positive,0.4404,140000,70000,2,Easy to use and reliable.,3,1
S000200,CUST01162,Positive,0.6808,48000,12000,4,"Worth the price, happy with the purchase.",4,1
S000201,CUST00906,Positive,0.4404,135000,45000,3,Product quality could be better.,4,1
S000202,CUST01476,Negative,-0.3089,500,100,5,"Met expectations, nothing special.",4,1
S000203,CUST01075,Positive,0.4404,50000,25000,2,Product quality could be better.,4,1
S000204,CUST01590,Positive,0.5719,24000,12000,2,Excellent customer service.,3,1
S000205,CUST00285,Negative,-0.4767,25000,25000,1,"Terrible experience, will not buy again.",3,1
S000206,CUST00243,Negative,-0.4767,24000,8000,3,"Terrible experience, will not buy again.",3,1
S000207,CUST00366,Negative,-0.3089,25000,25000,1,"Met expectations, nothing special.",4,1
S000208,CUST01434,Positive,0.6808,24000,8000,3,"Worth the price, happy with the purchase.",4,1
S000209,CUST00627,Negative,-0.3089,30000,15000,2,"Met expectations, nothing special.",4,1
S000210,CUST01161,Negative,-0.3089,150,50,3,"Met expectations, nothing special.",4,1
S000211,CUST01326,Negative,-0.4767,300,100,3,"Terrible experience, will not buy again.",3,1
S000212,CUST00849,Negative,-0.4767,12000,3000,4,"Terrible experience, will not buy again.",3,1
S000213,CUST00312,Positive,0.8016,225000,45000,5,"Great product, very satisfied.",3,1
S000214,CUST01683,Negative,-0.4767,180000,45000,4,"Terrible experience, will not buy again.",3,1
S000215,CUST00591,Negative,-0.3089,250,50,5,"Met expectations, nothing special.",4,1
S000216,CUST01837,Positive,0.6808,75000,15000,5,"Worth the price, happy with the purchase.",4,1
S000217,CUST00286,Positive,0.6808,100000,25000,4,"Worth the price, happy with the purchase.",4,1
S000218,CUST00546,Positive,0.5719,50,50,1,Excellent customer service.,3,1
S000219,CUST01952,Neutral,0.0,100000,25000,4,Too expensive for the features offered.,4,1
S000220,CUST00894,Positive,0.4404,36000,12000,3,Easy to use and reliable.,3,1
S000221,CUST01826,Positive,0.4201,6000,3000,2,Highly recommend to others.,3,1
S000222,CUST01068,Positive,0.4404,200,100,2,Product quality could be better.,4,1
S000223,CUST00023,Neutral,0.0,60000,15000,4,Too expensive for the features offered.,4,1
S000224,CUST00934,Positive,0.4201,70000,70000,1,Highly recommend to others.,3,1
S000225,CUST00405,Positive,0.6808,300,100,3,"Worth the price, happy with the purchase.",4,1
S000226,CUST00012,Negative,-0.4767,70000,70000,1,"Terrible experience, will not buy again.",3,1
S000227,CUST01983,Positive,0.4201,15000,3000,5,Highly recommend to others.,3,1
S000228,CUST01114,Negative,-0.4585,30000,15000,2,"Delivery was late, not happy.",3,1
S000229,CUST00031,Positive,0.6808,40000,8000,5,"Worth the price, happy with the purchase.",4,1
S000230,CUST01505,Positive,0.4201,300,100,3,Highly recommend to others.,3,1
S000231,CUST01460,Positive,0.4404,15000,15000,1,Product quality could be better.,4,1
S000232,CUST01408,Negative,-0.4767,12000,12000,1,"Terrible experience, will not buy again.",3,1
S000233,CUST00861,Negative,-0.4767,48000,12000,4,"Terrible experience, will not buy again.",3,1
S000234,CUST01393,Negative,-0.4767,350000,70000,5,"Terrible experience, will not buy again.",3,1
S000235,CUST00045,Positive,0.5719,125000,25000,5,Excellent customer service.,3,1
S000236,CUST01222,Positive,0.6808,250,50,5,"Worth the price, happy with the purchase.",4,1
S000237,CUST00118,Neutral,0.0,15000,15000,1,Too expensive for the features offered.,4,1
S000238,CUST00116,Neutral,0.0,150,50,3,Too expensive for the features offered.,4,1
S000239,CUST01967,Negative,-0.4767,9000,3000,3,"Terrible experience, will not buy again.",3,1
S000240,CUST00747,Positive,0.6808,200,100,2,"Worth the price, happy with the purchase.",4,1
S000241,CUST01419,Positive,0.4404,100000,25000,4,Product quality could be better.,4,1
S000242,CUST00367,Positive,0.4201,36000,12000,3,Highly recommend to others.,3,1
S000243,CUST00085,Positive,0.6808,60000,15000,4,"Worth the price, happy with the purchase.",4,1
S000244,CUST01461,Negative,-0.3089,6000,3000,2,"Met expectations, nothing special.",4,1
S000245,CUST00663,Positive,0.5719,140000,70000,2,Excellent customer service.,3,1
S000246,CUST01867,Negative,-0.3089,12000,12000,1,"Met expectations, nothing special.",4,1
S000247,CUST00264,Positive,0.5719,75000,15000,5,Excellent customer service.,3,1
S000248,CUST01712,Positive,0.4404,100,100,1,Product quality could be better.,4,1
S000249,CUST00106,Neutral,0.0,6000,3000,2,Too expensive for the features offered.,4,1
S000250,CUST01439,Negative,-0.3089,24000,12000,2,"Met expectations, nothing special.",4,1
S000251,CUST00077,Neutral,0.0,60000,12000,5,Too expensive for the features offered.,4,1
S000252,CUST01888,Positive,0.4404,350000,70000,5,Product quality could be better.,4,1
S000253,CUST01500,Positive,0.4201,210000,70000,3,Highly recommend to others.,3,1
S000254,CUST00239,Positive,0.4404,36000,12000,3,Product quality could be better.,4,1
S000255,CUST00258,Positive,0.8016,140000,70000,2,"Great product, very satisfied.",3,1
S000256,CUST01793,Neutral,0.0,24000,12000,2,Too expensive for the features offered.,4,1
S000257,CUST00378,Neutral,0.0,50,50,1,Too expensive for the features offered.,4,1
S000258,CUST00924,Negative,-0.4767,200,50,4,"Terrible experience, will not buy again.",3,1
S000259,CUST01761,Positive,0.4404,125000,25000,5,Easy to use and reliable.,3,1
S000260,CUST01281,Positive,0.4404,12000,12000,1,Product quality could be better.,4,1
S000261,CUST00180,Positive,0.4404,16000,8000,2,Easy to use and reliable.,3,1
S000262,CUST01806,Positive,0.4404,45000,15000,3,Product quality could be better.,4,1
S000263,CUST00855,Positive,0.4404,180000,45000,4,Easy to use and reliable.,3,1
S000264,CUST01092,Positive,0.5719,12000,12000,1,Excellent customer service.,3,1
S000265,CUST01923,Positive,0.4404,40000,8000,5,Product quality could be better.,4,1
S000266,CUST01016,Negative,-0.4585,60000,15000,4,"Delivery was late, not happy.",3,1
S000267,CUST00676,Positive,0.8016,500,100,5,"Great product, very satisfied.",3,1
S000268,CUST00377,Negative,-0.4767,24000,12000,2,"Terrible experience, will not buy again.",3,1
S000269,CUST01447,Positive,0.4201,36000,12000,3,Highly recommend to others.,3,1
S000270,CUST00258,Negative,-0.4767,200,50,4,"Terrible experience, will not buy again.",3,1
S000271,CUST01625,Positive,0.8016,125000,25000,5,"Great product, very satisfied.",3,1
S000272,CUST00351,Negative,-0.4767,15000,3000,5,"Terrible experience, will not buy again.",3,1
S000273,CUST01559,Positive,0.4201,125000,25000,5,Highly recommend to others.,3,1
S000274,CUST01251,Negative,-0.4585,280000,70000,4,"Delivery was late, not happy.",3,1
S000275,CUST00945,Negative,-0.3089,250,50,5,"Met expectations, nothing special.",4,1
S000276,CUST01978,Positive,0.4404,24000,12000,2,Product quality could be better.,4,1
S000277,CUST01645,Negative,-0.3089,140000,70000,2,"Met expectations, nothing special.",4,1
S000278,CUST01087,Positive,0.4201,8000,8000,1,Highly recommend to others.,3,1
S000279,CUST00820,Positive,0.8016,30000,15000,2,"Great product, very satisfied.",3,1
S000280,CUST00748,Negative,-0.4585,400,100,4,"Delivery was late, not happy.",3,1
S000281,CUST00748,Neutral,0.0,60000,12000,5,Too expensive for the features offered.,4,1
S000282,CUST00704,Negative,-0.3089,70000,70000,1,"Met expectations, nothing special.",4,1
S000283,CUST01079,Negative,-0.3089,100,100,1,"Met expectations, nothing special.",4,1
S000284,CUST01096,Negative,-0.4767,24000,8000,3,"Terrible experience, will not buy again.",3,1
S000285,CUST00168,Positive,0.4404,140000,70000,2,Easy to use and reliable.,3,1
S000286,CUST01340,Negative,-0.3089,48000,12000,4,"Met expectations, nothing special.",4,1
S000287,CUST01029,Neutral,0.0,210000,70000,3,Too expensive for the features offered.,4,1
S000288,CUST00783,Positive,0.6808,36000,12000,3,"Worth the price, happy with the purchase.",4,1
S000289,CUST00409,Positive,0.4404,75000,25000,3,Product quality could be better.,4,1
S000290,CUST00621,Negative,-0.4767,25000,25000,1,"Terrible experience, will not buy again.",3,1
S000291,CUST00474,Positive,0.4201,60000,15000,4,Highly recommend to others.,3,1
S000292,CUST00275,Positive,0.5719,60000,12000,5,Excellent customer service.,3,1
S000293,CUST01285,Positive,0.4201,350000,70000,5,Highly recommend to others.,3,1
S000294,CUST00542,Positive,0.8016,200,100,2,"Great product, very satisfied.",3,1
S000295,CUST01170,Negative,-0.4585,25000,25000,1,"Delivery was late, not happy.",3,1
S000296,CUST01310,Positive,0.8016,210000,70000,3,"Great product, very satisfied.",3,1
S000297,CUST00554,Positive,0.4201,60000,12000,5,Highly recommend to others.,3,1
S000298,CUST01761,Positive,0.6808,9000,3000,3,"Worth the price, happy with the purchase.",4,1
S000299,CUST01494,Negative,-0.4585,12000,3000,4,"Delivery was late, not happy.",3,1
S000300,CUST01366,Positive,0.4201,6000,3000,2,Highly recommend to others.,3,1
S000301,CUST01635,Positive,0.4404,30000,15000,2,Product quality could be better.,4,1
S000302,CUST01997,Negative,-0.4585,9000,3000,3,"Delivery was late, not happy.",3,1
S000303,CUST01784,Positive,0.4201,8000,8000,1,Highly recommend to others.,3,1
S000304,CUST01433,Negative,-0.4585,500,100,5,"Delivery was late, not happy.",3,1
S000305,CUST00993,Positive,0.4404,36000,12000,3,Easy to use and reliable.,3,1
S000306,CUST00821,Neutral,0.0,9000,3000,3,Too expensive for the features offered.,4,1
S000307,CUST01138,Positive,0.4404,24000,12000,2,Easy to use and reliable.,3,1
S000308,CUST01230,Positive,0.6808,75000,25000,3,"Worth the price, happy with the purchase.",4,1
S000309,CUST00011,Positive,0.4404,40000,8000,5,Product quality could be better.,4,1
S000310,CUST01261,Positive,0.8016,50000,25000,2,"Great product, very satisfied.",3,1
S000311,CUST01185,Negative,-0.4585,45000,45000,1,"Delivery was late, not happy.",3,1
S000312,CUST00243,Positive,0.5719,400,100,4,Excellent customer service.,3,1
S000313,CUST00217,Positive,0.4201,12000,12000,1,Highly recommend to others.,3,1
S000314,CUST01824,Negative,-0.3089,45000,15000,3,"Met expectations, nothing special.",4,1
S000315,CUST01585,Positive,0.4404,36000,12000,3,Easy to use and reliable.,3,1
S000316,CUST00945,Negative,-0.4767,50,50,1,"Terrible experience, will not buy again.",3,1
S000317,CUST01276,Positive,0.4201,15000,15000,1,Highly recommend to others.,3,1
S000318,CUST00680,Positive,0.4201,8000,8000,1,Highly recommend to others.,3,1
S000319,CUST00676,Positive,0.4201,30000,15000,2,Highly recommend to others.,3,1
S000320,CUST00735,Negative,-0.3089,36000,12000,3,"Met expectations, nothing special.",4,1
S000321,CUST00428,Positive,0.4404,15000,15000,1,Product quality could be better.,4,1
S000322,CUST01446,Negative,-0.4767,24000,12000,2,"Terrible experience, will not buy again.",3,1
S000323,CUST01176,Negative,-0.4767,135000,45000,3,"Terrible experience, will not buy again.",3,1
S000324,CUST00389,Neutral,0.0,24000,8000,3,Too expensive for the features offered.,4,1
S000325,CUST01448,Positive,0.4404,500,100,5,Easy to use and reliable.,3,1
